"filename", "language", "JavaScript", "Vue", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\DesktopCopy\demo\blog\blog\src\App.vue", "Vue", 0, 31, 0, 0, 0, 0, 2, 33
"d:\DesktopCopy\demo\blog\blog\src\api\base\article.js", "JavaScript", 78, 0, 0, 0, 0, 0, 11, 89
"d:\DesktopCopy\demo\blog\blog\src\api\base\comment.js", "JavaScript", 32, 0, 0, 0, 0, 0, 4, 36
"d:\DesktopCopy\demo\blog\blog\src\api\base\login.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 13
"d:\DesktopCopy\demo\blog\blog\src\api\base\register.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"d:\DesktopCopy\demo\blog\blog\src\api\base\totalData.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"d:\DesktopCopy\demo\blog\blog\src\api\base\user.js", "JavaScript", 40, 0, 0, 0, 0, 0, 5, 45
"d:\DesktopCopy\demo\blog\blog\src\components\404.vue", "Vue", 0, 7, 0, 0, 0, 0, 3, 10
"d:\DesktopCopy\demo\blog\blog\src\components\Login.vue", "Vue", 0, 542, 0, 0, 0, 0, 7, 549
"d:\DesktopCopy\demo\blog\blog\src\components\cropper\index.vue", "Vue", 0, 53, 0, 0, 0, 0, 3, 56
"d:\DesktopCopy\demo\blog\blog\src\components\imageFill\index.vue", "Vue", 0, 166, 0, 0, 0, 0, 4, 170
"d:\DesktopCopy\demo\blog\blog\src\font\demo.css", "CSS", 0, 0, 439, 0, 0, 19, 83, 541
"d:\DesktopCopy\demo\blog\blog\src\font\demo_index.html", "HTML", 0, 0, 0, 0, 319, 2, 24, 345
"d:\DesktopCopy\demo\blog\blog\src\font\iconfont.css", "CSS", 0, 0, 29, 0, 0, 0, 8, 37
"d:\DesktopCopy\demo\blog\blog\src\font\iconfont.js", "JavaScript", 64, 0, 0, 0, 0, 0, 1, 65
"d:\DesktopCopy\demo\blog\blog\src\font\iconfont.json", "JSON", 0, 0, 0, 51, 0, 0, 1, 52
"d:\DesktopCopy\demo\blog\blog\src\global\register-element.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"d:\DesktopCopy\demo\blog\blog\src\layout\Footer.vue", "Vue", 0, 88, 0, 0, 0, 0, 3, 91
"d:\DesktopCopy\demo\blog\blog\src\layout\Header.vue", "Vue", 0, 25, 0, 0, 0, 0, 3, 28
"d:\DesktopCopy\demo\blog\blog\src\layout\body\index.vue", "Vue", 0, 336, 0, 0, 0, 1, 3, 340
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\ArticleCard.vue", "Vue", 0, 163, 0, 0, 0, 0, 4, 167
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\Card.vue", "Vue", 0, 110, 0, 0, 0, 0, 3, 113
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\Introduce.vue", "Vue", 0, 111, 0, 0, 0, 0, 3, 114
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\Label.vue", "Vue", 0, 37, 0, 0, 0, 0, 3, 40
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\Nav.vue", "Vue", 0, 303, 0, 0, 0, 1, 5, 309
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\SlideShow.vue", "Vue", 0, 142, 0, 0, 0, 1, 6, 149
"d:\DesktopCopy\demo\blog\blog\src\layout\body\views\Watch.vue", "Vue", 0, 109, 0, 0, 0, 0, 5, 114
"d:\DesktopCopy\demo\blog\blog\src\layout\index.vue", "Vue", 0, 25, 0, 0, 0, 0, 3, 28
"d:\DesktopCopy\demo\blog\blog\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 4, 27
"d:\DesktopCopy\demo\blog\blog\src\router\guard.js", "JavaScript", 36, 0, 0, 0, 0, 0, 6, 42
"d:\DesktopCopy\demo\blog\blog\src\router\index.js", "JavaScript", 52, 0, 0, 0, 0, 0, 5, 57
"d:\DesktopCopy\demo\blog\blog\src\store\index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 3, 29
"d:\DesktopCopy\demo\blog\blog\src\util\css\font.css", "CSS", 0, 0, 24, 0, 0, 0, 4, 28
"d:\DesktopCopy\demo\blog\blog\src\util\css\global.css", "CSS", 0, 0, 129, 0, 0, 4, 19, 152
"d:\DesktopCopy\demo\blog\blog\src\util\css\reset.css", "CSS", 0, 0, 4, 0, 0, 0, 1, 5
"d:\DesktopCopy\demo\blog\blog\src\util\js\create.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 20
"d:\DesktopCopy\demo\blog\blog\src\util\js\http\baseURL.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2, 4
"d:\DesktopCopy\demo\blog\blog\src\util\js\http\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3, 6
"d:\DesktopCopy\demo\blog\blog\src\util\js\http\musicRequire.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3, 6
"d:\DesktopCopy\demo\blog\blog\src\util\js\http\require.js", "JavaScript", 33, 0, 0, 0, 0, 4, 4, 41
"d:\DesktopCopy\demo\blog\blog\src\util\js\image.js", "JavaScript", 52, 0, 0, 0, 0, 8, 6, 66
"d:\DesktopCopy\demo\blog\blog\src\util\js\init.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"d:\DesktopCopy\demo\blog\blog\src\util\js\markdown.js", "JavaScript", 40, 0, 0, 0, 0, 0, 4, 44
"d:\DesktopCopy\demo\blog\blog\src\util\js\time.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"d:\DesktopCopy\demo\blog\blog\src\util\js\token.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 8
"d:\DesktopCopy\demo\blog\blog\src\views\article\ArticleContribute.vue", "Vue", 0, 267, 0, 0, 0, 1, 4, 272
"d:\DesktopCopy\demo\blog\blog\src\views\article\ArticleModify.vue", "Vue", 0, 295, 0, 0, 0, 1, 4, 300
"d:\DesktopCopy\demo\blog\blog\src\views\article\components\comment.vue", "Vue", 0, 193, 0, 0, 0, 0, 4, 197
"d:\DesktopCopy\demo\blog\blog\src\views\article\components\commentItem.vue", "Vue", 0, 84, 0, 0, 0, 0, 3, 87
"d:\DesktopCopy\demo\blog\blog\src\views\article\index.vue", "Vue", 0, 408, 0, 0, 0, 4, 5, 417
"d:\DesktopCopy\demo\blog\blog\src\views\news\news.vue", "Vue", 0, 256, 0, 0, 0, 0, 5, 261
"d:\DesktopCopy\demo\blog\blog\src\views\personalCenter\PersonalCenter.vue", "Vue", 0, 211, 0, 0, 0, 0, 4, 215
"d:\DesktopCopy\demo\blog\blog\src\views\personalCenter\components\ArticleCardMini.vue", "Vue", 0, 134, 0, 0, 0, 0, 3, 137
"d:\DesktopCopy\demo\blog\blog\src\views\userModify\components\baseBar.vue", "Vue", 0, 38, 0, 0, 0, 0, 3, 41
"d:\DesktopCopy\demo\blog\blog\src\views\userModify\components\userBar.vue", "Vue", 0, 57, 0, 0, 0, 0, 3, 60
"d:\DesktopCopy\demo\blog\blog\src\views\userModify\index.vue", "Vue", 0, 290, 0, 0, 0, 0, 5, 295
"Total", "-", 595, 4481, 625, 51, 319, 46, 326, 6443